City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind,Country,Date
salalah,17.02,54.09,84.2,89,61,2.24,OM,1590275914
columbia,34.0,-81.03,89.6,43,1,4.7,US,1590275909
lerwick,60.15,-1.15,48.2,93,100,31.09,GB,1590275914
jieshi,22.81,115.83,75.47,86,74,10.89,CN,1590275914
manokwari,-0.87,134.08,84.06,69,19,2.21,ID,1590275914
mayo,38.89,-76.51,78.01,78,40,5.82,US,1590275727
longhua,23.61,114.19,75.4,88,14,1.21,CN,1590275914
pestovo,58.59,35.8,36.3,95,18,1.32,RU,1590275914
bengkulu,-3.8,102.27,76.6,82,14,4.47,ID,1590275914
petatlan,17.52,-101.27,86.0,62,5,11.41,MX,1590275914
severnyy,50.68,36.55,42.8,93,75,6.71,RU,1590275914
pandan,14.05,124.17,83.23,82,100,6.62,PH,1590275914
alyangula,-13.85,136.42,62.6,88,84,20.83,AU,1590275914
virden,39.5,-89.77,82.99,67,46,5.01,US,1590275914
mercedes,-34.65,-59.43,50.0,77,40,3.62,AR,1590275914
madimba,-10.4,40.33,73.4,53,40,10.94,TZ,1590275915
mastic beach,40.77,-72.85,54.0,81,90,5.82,US,1590275824
mehamn,71.04,27.85,45.81,68,29,19.51,NO,1590275915
trelew,-43.25,-65.31,64.67,29,97,20.18,AR,1590275765
zaporizhzhya,47.82,35.18,46.99,67,14,4.14,UA,1590275915
boyolangu,-8.12,111.89,75.79,83,0,0.67,ID,1590275915
ewa beach,21.32,-158.01,84.2,62,1,9.17,US,1590275915
tautira,-17.73,-149.15,84.2,70,40,10.29,PF,1590275915
kiunga,-6.12,141.29,74.44,98,100,2.66,PG,1590275915
ostrovnoy,68.05,39.51,37.11,79,81,18.52,RU,1590275915
mangan,27.52,88.53,71.76,57,100,1.74,IN,1590275915
vardo,70.37,31.11,43.72,81,80,15.37,NO,1590275915
solnechnyy,50.72,136.63,48.11,59,98,9.48,RU,1590275915
kudahuvadhoo,2.67,72.89,84.27,77,92,22.1,MV,1590275915
konanur,12.63,76.05,72.97,89,58,6.87,IN,1590275915
bosaso,11.28,49.18,89.89,48,0,4.61,SO,1590275915
rosetta,31.4,30.42,68.0,60,40,18.34,EG,1590275915
monte alegre,-2.01,-54.07,77.79,91,76,3.27,BR,1590275916
hay river,60.82,-115.8,44.6,56,20,9.17,CA,1590275916
thunder bay,48.4,-89.32,62.6,77,75,9.17,CA,1590275916
zhanakorgan,43.91,67.25,74.21,29,0,1.72,KZ,1590275916
peterhead,57.51,-1.8,55.0,57,100,18.34,GB,1590275916
ghatanji,20.13,78.32,90.21,16,3,9.19,IN,1590275916
dolinsk,47.35,142.8,48.2,87,75,4.47,RU,1590275916
aksay,47.26,39.87,48.2,81,0,4.47,RU,1590275916
kifri,34.7,44.97,84.36,22,54,8.25,IQ,1590275916
kieta,-6.22,155.63,83.89,70,99,4.0,PG,1590275916
jaciara,-15.97,-54.97,59.81,79,100,7.43,BR,1590275916
kupang,-10.17,123.58,77.0,83,40,16.11,ID,1590275916
carutapera,-1.2,-46.02,75.99,93,100,3.74,BR,1590275916
manaia,-39.55,174.13,57.99,84,100,5.01,NZ,1590275916
contamana,-7.33,-75.02,77.99,88,98,2.73,PE,1590275916
meadow lake,34.8,-106.54,84.0,9,40,13.87,US,1590275917
kadyy,57.79,43.19,41.95,96,100,5.84,RU,1590275917
ust-nera,64.57,143.2,43.38,60,100,4.61,RU,1590275917
tateyama,34.98,139.87,73.0,70,83,7.38,JP,1590275917
toyooka,35.53,134.83,71.6,73,20,10.29,JP,1590275917
dingle,11.0,122.67,82.72,77,98,1.95,PH,1590275917
dong hoi,17.48,106.6,79.57,81,100,7.18,VN,1590275917
sao filipe,14.9,-24.5,75.81,68,0,6.31,CV,1590275917
sydney,-33.87,151.21,61.0,67,75,29.97,AU,1590275864
korla,41.76,86.15,73.99,73,38,3.0,CN,1590275917
magadan,59.57,150.8,43.63,63,98,4.03,RU,1590275917
kismayo,-0.36,42.55,79.54,80,20,13.2,SO,1590275917
esso,55.93,158.7,39.27,76,88,2.71,RU,1590275917
huai yot,7.79,99.63,77.58,93,100,1.16,TH,1590275917
nizhniy kuranakh,58.84,125.49,50.45,58,99,2.44,RU,1590275917
washington,47.5,-120.5,69.01,28,1,5.82,US,1590275853
umm lajj,25.02,37.27,82.31,66,0,7.07,SA,1590275917
salamiyah,35.01,37.05,61.79,70,6,17.49,SY,1590275917
brae,60.4,-1.35,48.2,100,100,18.34,GB,1590275917
gazanjyk,39.24,55.52,85.03,14,0,7.94,TM,1590275917
taoudenni,22.68,-3.98,86.47,25,0,15.12,ML,1590275918
terme,41.21,36.97,55.4,71,75,17.22,TR,1590275918
calabozo,8.92,-67.43,87.76,45,33,3.06,VE,1590275918
samarai,-10.62,150.67,79.41,88,92,13.11,PG,1590275918
chimbote,-9.09,-78.58,67.42,80,85,8.46,PE,1590275853
talnakh,69.49,88.4,51.8,87,75,8.95,RU,1590275918
saldanha,-33.01,17.94,51.8,87,0,2.24,ZA,1590275918
dzhebariki-khaya,62.22,135.8,54.19,40,97,3.83,RU,1590275918
turbat,26.0,63.04,78.31,83,0,3.83,PK,1590275918
kulhudhuffushi,6.62,73.07,83.77,80,27,16.44,MV,1590275918
erzin,36.96,36.2,64.4,100,75,6.93,TR,1590275918
churapcha,62.0,132.43,53.65,43,87,4.16,RU,1590275918
mana,5.66,-53.78,78.96,87,78,8.68,GF,1590275918
manavgat,36.79,31.44,62.6,36,38,18.34,TR,1590275918
trairi,-3.28,-39.27,77.2,91,41,5.59,BR,1590275855
lang son,21.83,106.73,76.41,90,78,0.72,VN,1590275918
ordzhonikidze,52.44,61.74,65.53,59,37,9.66,KZ,1590275919
chifeng,42.27,118.96,60.67,41,0,12.57,CN,1590275919
rassvet,46.83,40.75,44.2,79,3,6.67,RU,1590275919
novyy urengoy,66.08,76.63,53.19,82,78,5.84,RU,1590275919
boshnyakovo,49.63,142.17,45.64,93,100,4.21,RU,1590275919
huasahuasi,-11.32,-75.62,42.98,100,90,4.07,PE,1590275919
tianpeng,30.99,103.94,71.01,1,100,4.88,CN,1590275919
biograd na moru,43.94,15.45,64.99,67,77,5.82,HR,1590275919
vostok,46.49,135.88,52.18,88,95,2.13,RU,1590275919
bolu,40.67,31.58,41.36,85,93,3.22,TR,1590275919
utiel,39.57,-1.2,66.0,43,29,8.55,ES,1590275919
anadyr,64.75,177.48,39.2,93,75,6.71,RU,1590275919
khanpur,28.65,70.66,91.63,16,0,8.46,PK,1590275919
sobolevo,54.43,31.9,37.08,93,22,2.37,RU,1590275919
puerto escondido,15.85,-97.07,86.0,70,20,9.17,MX,1590275919
ribas do rio pardo,-20.44,-53.76,55.69,73,100,4.0,BR,1590275920
san-pedro,4.75,-6.64,78.66,86,19,4.47,CI,1590275920
harper,4.38,-7.72,78.6,85,30,3.09,LR,1590275920
hasaki,35.73,140.83,71.01,77,75,6.93,JP,1590275920
zirgan,53.22,55.92,63.66,59,68,13.8,RU,1590275920
la romana,18.43,-68.97,82.4,83,40,13.87,DO,1590275663
hengshan,45.2,130.92,54.0,86,99,3.18,CN,1590275920
olavarria,-36.89,-60.32,46.99,72,80,6.53,AR,1590275920
koson,39.04,65.58,68.0,60,0,6.93,UZ,1590275920
kastamonu,41.5,33.67,38.14,91,97,3.51,TR,1590275920
cayenne,4.93,-52.33,77.0,100,99,1.12,GF,1590275920
fez,34.04,-5.0,71.6,33,44,6.93,MA,1590275763
porto novo,6.5,2.6,84.2,79,40,10.29,BJ,1590275920
arroio grande,-32.24,-53.09,52.0,6,100,14.43,BR,1590275920
avera,33.19,-82.53,87.8,45,1,4.7,US,1590275921
amalapuram,16.58,82.02,81.32,93,52,3.0,IN,1590275921
maykor,59.01,55.88,43.3,88,89,4.56,RU,1590275921
sampit,-2.53,112.95,75.79,95,55,0.13,ID,1590275921
wonthaggi,-38.6,145.59,54.0,81,63,4.0,AU,1590275921
dourbali,11.81,15.86,95.09,29,20,4.72,TD,1590275922
ahipara,-35.17,173.17,63.03,89,100,12.5,NZ,1590275922
porangatu,-13.44,-49.15,73.58,87,49,3.87,BR,1590275922
fuzhou,26.06,119.31,69.8,94,2,1.48,CN,1590275922
singaparna,-7.35,108.11,70.92,85,44,2.06,ID,1590275922
mosquera,4.71,-74.23,64.4,52,40,9.17,CO,1590275922
purwodadi,-7.09,110.92,74.5,87,0,2.84,ID,1590275922
havoysund,71.0,24.66,48.2,77,10,16.11,NO,1590275922
hanyang,32.14,105.51,52.0,92,100,18.01,CN,1590275922
knysna,-34.04,23.05,53.6,87,0,3.36,ZA,1590275922
maiduguri,11.85,13.16,90.48,35,19,1.05,NG,1590275922
jiwani,25.05,61.74,82.71,83,6,7.78,PK,1590275922
san policarpo,12.18,125.51,81.57,81,99,4.0,PH,1590275922
swift current,50.28,-107.8,60.8,44,75,17.22,CA,1590275922
gornyy,55.12,83.91,53.82,79,37,6.02,RU,1590275923
olindina,-11.37,-38.33,72.41,93,3,6.38,BR,1590275923
yumen,40.28,97.2,60.3,31,2,9.71,CN,1590275923
wicklow,53.0,-6.42,53.01,93,75,19.46,IE,1590275923
ouesso,1.61,16.05,72.03,96,4,1.43,CG,1590275923
polunochnoye,60.87,60.42,40.86,95,0,1.21,RU,1590275923
sindal,57.47,10.2,51.01,85,63,4.0,DK,1590275923
guazapa,13.88,-89.17,82.4,74,40,13.87,SV,1590275923
